task_description,assigned_to,task_type,created_date,due_date,estimated_hours,completed,priority
Write test cases,Omar,Testing,2025-06-20,2025-06-22,3,True,Medium
Clean up codebase,Hamza,Testing,2025-06-19,2025-06-29,2,True,High
Write test cases,Ali,Testing,2025-06-26,2025-07-01,9,True,High
Implement search,Omar,Bug,2025-06-24,2025-07-02,5,True,High
Clean up codebase,Zara,Bug,2025-06-22,2025-06-23,1,False,Medium
Fix backend bug,Ali,Deployment,2025-06-20,2025-06-21,7,True,High
Design homepage,Ali,Documentation,2025-06-22,2025-06-23,4,True,Low
Deploy app to server,Ali,Feature,2025-06-27,2025-06-30,10,True,Medium
Test payment flow,Ali,Feature,2025-06-27,2025-06-28,5,False,High
Clean up codebase,Sara,Refactor,2025-06-20,2025-06-27,2,False,Medium
Update dependencies,Sara,Refactor,2025-06-25,2025-06-30,10,True,Low
Update dependencies,Omar,Feature,2025-06-20,2025-06-21,4,True,Medium
Design homepage,Omar,Documentation,2025-06-17,2025-06-20,5,True,Medium
Test payment flow,Ali,Feature,2025-06-26,2025-07-04,12,False,High
Write test cases,Zara,Bug,2025-06-19,2025-06-20,9,False,Medium
Implement search,Omar,Refactor,2025-06-22,2025-07-01,5,False,Medium
Research OAuth,Ayesha,Bug,2025-06-21,2025-06-26,11,False,Low
Test payment flow,Ali,Testing,2025-06-24,2025-06-25,6,False,Medium
Deploy app to server,Omar,Documentation,2025-06-21,2025-06-26,8,False,High
Deploy app to server,Sara,Deployment,2025-06-24,2025-06-25,12,False,High
Optimize database,Ali,Bug,2025-06-26,2025-07-03,6,True,Medium
Clean up codebase,Hamza,Feature,2025-06-19,2025-06-23,1,True,Low
Implement search,Ali,Bug,2025-06-27,2025-07-04,5,True,Medium
Update dependencies,Ayesha,Testing,2025-06-25,2025-06-30,7,True,High
Optimize database,Ali,Refactor,2025-06-23,2025-07-01,5,False,Medium
Clean up codebase,Sara,Refactor,2025-06-25,2025-06-30,4,False,High
Clean up codebase,Ali,Feature,2025-06-21,2025-06-28,9,False,Medium
Update dependencies,Ali,Bug,2025-06-21,2025-06-24,12,True,Medium
Fix backend bug,Ali,Bug,2025-06-19,2025-06-28,12,False,High
Clean up codebase,Zara,Documentation,2025-06-25,2025-06-27,1,True,Medium
Optimize database,Hamza,Feature,2025-06-24,2025-07-03,1,True,High
Write test cases,Sara,Testing,2025-06-18,2025-06-28,6,False,High
Optimize database,Hamza,Deployment,2025-06-20,2025-06-24,3,True,High
Research OAuth,Ali,Feature,2025-06-25,2025-07-01,12,True,Medium
Write test cases,Zara,Refactor,2025-06-23,2025-07-01,3,True,High
Refactor navbar,Ali,Deployment,2025-06-18,2025-06-22,2,False,High
Optimize database,Omar,Deployment,2025-06-26,2025-06-28,7,True,Medium
Deploy app to server,Ayesha,Testing,2025-06-19,2025-06-23,7,False,Medium
Implement search,Ayesha,Bug,2025-06-23,2025-07-01,3,True,Low
Design homepage,Ali,Refactor,2025-06-17,2025-06-24,2,True,High
Update dependencies,Zara,Testing,2025-06-20,2025-06-25,3,True,High
Fix backend bug,Zara,Feature,2025-06-26,2025-07-01,8,False,High
Clean up codebase,Hamza,Documentation,2025-06-27,2025-06-29,8,False,High
Write test cases,Omar,Testing,2025-06-20,2025-06-24,4,False,High
Optimize database,Omar,Bug,2025-06-19,2025-06-22,4,False,High
Optimize database,Sara,Refactor,2025-06-25,2025-06-29,4,False,Low
Test payment flow,Ayesha,Deployment,2025-06-26,2025-06-28,2,False,Low
Write test cases,Ayesha,Documentation,2025-06-22,2025-06-26,7,False,Medium
Write test cases,Ayesha,Deployment,2025-06-26,2025-07-04,10,True,High
Research OAuth,Ayesha,Bug,2025-06-26,2025-07-05,7,False,Low
Implement search,Zara,Documentation,2025-06-26,2025-06-30,10,True,Medium
Write test cases,Omar,Bug,2025-06-17,2025-06-21,8,True,Medium
Refactor navbar,Hamza,Feature,2025-06-24,2025-07-02,2,False,Low
Deploy app to server,Sara,Bug,2025-06-24,2025-06-28,11,False,Low
Refactor navbar,Sara,Refactor,2025-06-25,2025-07-04,2,False,Low
Test payment flow,Zara,Refactor,2025-06-21,2025-06-24,7,False,Medium
Research OAuth,Omar,Refactor,2025-06-23,2025-06-30,7,False,High
Clean up codebase,Zara,Deployment,2025-06-25,2025-07-02,10,False,High
Design homepage,Sara,Documentation,2025-06-19,2025-06-24,3,False,Medium
Research OAuth,Ayesha,Feature,2025-06-26,2025-07-06,3,False,Low
Optimize database,Hamza,Refactor,2025-06-24,2025-06-30,11,False,High
Refactor navbar,Hamza,Documentation,2025-06-22,2025-06-27,5,True,High
Write API docs,Zara,Refactor,2025-06-24,2025-06-26,2,False,Low
Test payment flow,Ayesha,Feature,2025-06-24,2025-06-25,2,False,High
Fix backend bug,Zara,Testing,2025-06-23,2025-07-03,7,False,High
Update dependencies,Ali,Deployment,2025-06-21,2025-06-23,7,False,Low
Design homepage,Sara,Testing,2025-06-25,2025-06-30,4,True,High
Optimize database,Zara,Refactor,2025-06-21,2025-06-30,12,True,High
Research OAuth,Sara,Documentation,2025-06-21,2025-06-23,1,False,High
Design homepage,Ayesha,Refactor,2025-06-19,2025-06-27,12,True,Medium
Deploy app to server,Sara,Deployment,2025-06-20,2025-06-29,7,False,Medium
Clean up codebase,Omar,Feature,2025-06-26,2025-07-04,9,False,High
Clean up codebase,Ayesha,Feature,2025-06-21,2025-06-29,11,True,High
Research OAuth,Hamza,Deployment,2025-06-18,2025-06-27,4,True,High
Refactor navbar,Zara,Bug,2025-06-20,2025-06-30,8,True,High
Test payment flow,Ayesha,Documentation,2025-06-18,2025-06-27,9,True,Low
Design homepage,Ayesha,Testing,2025-06-20,2025-06-25,11,True,High
Deploy app to server,Ali,Feature,2025-06-25,2025-07-05,9,True,Medium
Clean up codebase,Hamza,Refactor,2025-06-18,2025-06-25,11,False,High
Optimize database,Hamza,Documentation,2025-06-23,2025-06-30,9,True,Low
Optimize database,Ali,Refactor,2025-06-19,2025-06-26,10,False,Low
Deploy app to server,Omar,Documentation,2025-06-19,2025-06-21,9,False,High
Clean up codebase,Sara,Feature,2025-06-20,2025-06-24,8,False,Medium
Deploy app to server,Ali,Testing,2025-06-22,2025-06-30,2,False,Medium
Clean up codebase,Hamza,Testing,2025-06-19,2025-06-29,12,False,High
Implement search,Omar,Testing,2025-06-17,2025-06-25,7,False,High
Update dependencies,Hamza,Feature,2025-06-27,2025-07-05,12,False,High
Research OAuth,Hamza,Deployment,2025-06-23,2025-06-29,9,False,Low
Fix backend bug,Zara,Testing,2025-06-18,2025-06-20,7,True,High
Implement search,Ayesha,Bug,2025-06-22,2025-06-25,10,False,Medium
Design homepage,Zara,Deployment,2025-06-26,2025-07-03,4,True,Medium
Refactor navbar,Hamza,Testing,2025-06-18,2025-06-26,3,True,Medium
Test payment flow,Zara,Bug,2025-06-24,2025-06-26,6,True,High
Deploy app to server,Hamza,Testing,2025-06-25,2025-07-04,4,False,Low
Update dependencies,Zara,Deployment,2025-06-20,2025-06-22,6,False,High
Deploy app to server,Ayesha,Refactor,2025-06-19,2025-06-20,12,False,Medium
Research OAuth,Ayesha,Deployment,2025-06-19,2025-06-20,4,False,High
Design homepage,Ayesha,Refactor,2025-06-21,2025-06-30,3,True,High
Write API docs,Omar,Bug,2025-06-19,2025-06-22,9,False,High
Deploy app to server,Hamza,Deployment,2025-06-18,2025-06-28,11,False,Low
Implement search,Ayesha,Documentation,2025-06-19,2025-06-21,6,True,High
Refactor navbar,Hamza,Feature,2025-06-21,2025-06-28,10,True,Medium
Write test cases,Ayesha,Deployment,2025-06-18,2025-06-26,1,False,High
Update dependencies,Zara,Bug,2025-06-22,2025-06-23,2,True,High
Optimize database,Hamza,Deployment,2025-06-20,2025-06-23,4,True,Low
Clean up codebase,Zara,Documentation,2025-06-19,2025-06-24,8,False,Medium
Test payment flow,Omar,Feature,2025-06-17,2025-06-21,5,True,High
Design homepage,Sara,Documentation,2025-06-23,2025-06-29,12,False,High
Test payment flow,Zara,Deployment,2025-06-17,2025-06-20,5,False,High
Refactor navbar,Ayesha,Documentation,2025-06-19,2025-06-25,4,True,High
Refactor navbar,Ali,Deployment,2025-06-20,2025-06-26,11,False,High
Write API docs,Zara,Feature,2025-06-20,2025-06-28,10,True,High
Research OAuth,Ayesha,Documentation,2025-06-26,2025-07-01,2,False,High
Fix backend bug,Zara,Bug,2025-06-18,2025-06-24,5,False,Medium
Refactor navbar,Hamza,Refactor,2025-06-22,2025-06-25,9,False,High
Test payment flow,Hamza,Documentation,2025-06-25,2025-07-04,11,False,Medium
Research OAuth,Zara,Bug,2025-06-23,2025-06-29,5,True,Medium
Test payment flow,Omar,Refactor,2025-06-20,2025-06-25,2,False,High
Clean up codebase,Sara,Bug,2025-06-24,2025-06-26,11,False,High
Refactor navbar,Hamza,Bug,2025-06-19,2025-06-28,7,True,Medium
